timestamp,container,cpu_percent,mem_usage
1765707500.1387784,vm3,69.01,3.68MiB / 512MiB
1765707500.1387784,vm2,60.12,4.07MiB / 512MiB
1765707500.1387784,vm1,49.65,5.93MiB / 512MiB
1765707500.1387784,vm4,79.78,4.32MiB / 512MiB
1765707500.1387784,vm5,99.59,4.312MiB / 512MiB
1765707503.153377,vm3,69.52,3.664MiB / 512MiB
1765707503.153377,vm2,60.00,4.066MiB / 512MiB
1765707503.153377,vm1,49.99,5.926MiB / 512MiB
1765707503.153377,vm4,79.04,4.277MiB / 512MiB
1765707503.153377,vm5,88.39,4.406MiB / 512MiB
1765707506.1775467,vm3,70.19,3.648MiB / 512MiB
1765707506.1775467,vm2,57.11,4.594MiB / 512MiB
1765707506.1775467,vm1,50.02,5.926MiB / 512MiB
1765707506.1775467,vm4,79.42,4.039MiB / 512MiB
1765707506.1775467,vm5,99.20,4.105MiB / 512MiB
1765707509.2778764,vm3,69.63,3.648MiB / 512MiB
1765707509.2778764,vm2,59.96,4.199MiB / 512MiB
1765707509.2778764,vm1,49.75,6.152MiB / 512MiB
1765707509.2778764,vm4,73.26,4.645MiB / 512MiB
1765707509.2778764,vm5,99.41,4.344MiB / 512MiB
1765707512.3015223,vm3,69.60,3.645MiB / 512MiB
1765707512.3015223,vm2,59.57,4.199MiB / 512MiB
1765707512.3015223,vm1,49.34,6.152MiB / 512MiB
1765707512.3015223,vm4,79.99,4.25MiB / 512MiB
1765707512.3015223,vm5,99.69,5.023MiB / 512MiB
1765707515.4066637,vm3,69.13,3.641MiB / 512MiB
1765707515.4066637,vm2,59.48,4.074MiB / 512MiB
1765707515.4066637,vm1,49.26,6.152MiB / 512MiB
1765707515.4066637,vm4,79.56,4.035MiB / 512MiB
1765707515.4066637,vm5,99.85,4.375MiB / 512MiB
1765707518.5080702,vm3,69.11,3.852MiB / 512MiB
1765707518.5080702,vm2,59.18,4.055MiB / 512MiB
1765707518.5080702,vm1,49.51,5.941MiB / 512MiB
1765707518.5080702,vm4,74.94,1.398MiB / 512MiB
1765707518.5080702,vm5,99.53,4.113MiB / 512MiB
1765707521.5318024,vm3,65.21,4.645MiB / 512MiB
1765707521.5318024,vm2,60.30,4.199MiB / 512MiB
1765707521.5318024,vm1,49.26,5.934MiB / 512MiB
1765707521.5318024,vm4,79.49,4.266MiB / 512MiB
1765707521.5318024,vm5,99.61,4.344MiB / 512MiB
1765707524.6252444,vm3,69.80,3.645MiB / 512MiB
1765707524.6252444,vm2,56.80,5.211MiB / 512MiB
1765707524.6252444,vm1,49.68,5.938MiB / 512MiB
1765707524.6252444,vm4,80.19,4.055MiB / 512MiB
1765707524.6252444,vm5,99.93,4.566MiB / 512MiB
1765707527.6485872,vm3,69.94,3.773MiB / 512MiB
1765707527.6485872,vm2,60.01,4.262MiB / 512MiB
1765707527.6485872,vm1,50.04,5.938MiB / 512MiB
1765707527.6485872,vm4,74.44,4.488MiB / 512MiB
1765707527.6485872,vm5,99.43,4.18MiB / 512MiB
1765707530.742091,vm3,69.53,3.773MiB / 512MiB
1765707530.742091,vm2,56.79,4.77MiB / 512MiB
1765707530.742091,vm1,49.37,5.938MiB / 512MiB
1765707530.742091,vm4,69.26,1.402MiB / 512MiB
1765707530.742091,vm5,102.18,7.117MiB / 512MiB
1765707533.832223,vm3,70.15,3.641MiB / 512MiB
1765707533.832223,vm2,59.95,4.062MiB / 512MiB
1765707533.832223,vm1,49.55,5.934MiB / 512MiB
1765707533.832223,vm4,79.90,4.805MiB / 512MiB
1765707533.832223,vm5,99.48,4.59MiB / 512MiB
1765707536.8594346,vm3,70.55,3.801MiB / 512MiB
1765707536.8594346,vm2,60.26,4.191MiB / 512MiB
1765707536.8594346,vm1,23.15,6.422MiB / 512MiB
1765707536.8594346,vm4,79.57,4.207MiB / 512MiB
1765707536.8594346,vm5,76.84,4.93MiB / 512MiB
1765707539.953344,vm3,69.62,3.879MiB / 512MiB
1765707539.953344,vm2,61.42,4.281MiB / 512MiB
1765707539.953344,vm1,50.01,5.945MiB / 512MiB
1765707539.953344,vm4,79.66,4.195MiB / 512MiB
1765707539.953344,vm5,99.74,4.266MiB / 512MiB
1765707542.9778483,vm3,69.91,4.113MiB / 512MiB
1765707542.9778483,vm2,58.64,4.289MiB / 512MiB
1765707542.9778483,vm1,50.12,5.949MiB / 512MiB
1765707542.9778483,vm4,72.51,4.879MiB / 512MiB
1765707542.9778483,vm5,90.21,4.207MiB / 512MiB
1765707546.0950274,vm3,65.56,1.02MiB / 512MiB
