timestamp,container,cpu_percent,mem_usage
1765707426.6871068,vm4,0.00,1.66MiB / 512MiB
1765707426.6871068,vm5,0.00,1.363MiB / 512MiB
1765707429.7897952,vm3,0.00,1004KiB / 512MiB
1765707429.7897952,vm2,0.00,1.402MiB / 512MiB
1765707429.7897952,vm1,50.53,5.93MiB / 512MiB
1765707429.7897952,vm4,0.00,1.66MiB / 512MiB
1765707429.7897952,vm5,0.00,1.332MiB / 512MiB
1765707432.8307638,vm3,0.00,1004KiB / 512MiB
1765707432.8307638,vm2,0.00,1.402MiB / 512MiB
1765707432.8307638,vm1,0.00,3.305MiB / 512MiB
1765707432.8307638,vm4,0.00,1.66MiB / 512MiB
1765707432.8307638,vm5,0.00,1.328MiB / 512MiB
