timestamp,container,cpu_percent,mem_usage
1765708898.2631452,vm3,58.50,4.266MiB / 512MiB
1765708898.2631452,vm2,48.67,1.426MiB / 512MiB
1765708898.2631452,vm1,49.78,5.941MiB / 512MiB
1765708898.2631452,vm4,67.42,4.199MiB / 512MiB
1765708898.2631452,vm5,79.50,7.512MiB / 512MiB
1765708901.3668804,vm3,46.23,4.055MiB / 512MiB
1765708901.3668804,vm2,56.34,4.512MiB / 512MiB
1765708901.3668804,vm1,36.26,5.957MiB / 512MiB
1765708901.3668804,vm4,75.96,4.031MiB / 512MiB
1765708901.3668804,vm5,87.01,4.395MiB / 512MiB
1765708904.463163,vm3,56.79,3.699MiB / 512MiB
1765708904.463163,vm2,60.17,4.059MiB / 512MiB
1765708904.463163,vm1,37.45,6.777MiB / 512MiB
1765708904.463163,vm4,66.90,4.098MiB / 512MiB
1765708904.463163,vm5,99.36,4.891MiB / 512MiB
1765708907.4854257,vm3,68.47,3.676MiB / 512MiB
1765708907.4854257,vm2,58.89,4.324MiB / 512MiB
1765708907.4854257,vm1,49.16,5.934MiB / 512MiB
1765708907.4854257,vm4,74.52,4.547MiB / 512MiB
1765708907.4854257,vm5,37.19,4.324MiB / 512MiB
1765708910.5853145,vm3,68.95,3.672MiB / 512MiB
1765708910.5853145,vm2,57.42,5.113MiB / 512MiB
1765708910.5853145,vm1,49.63,6.926MiB / 512MiB
1765708910.5853145,vm4,80.15,4.039MiB / 512MiB
1765708910.5853145,vm5,88.66,3.984MiB / 512MiB
1765708913.6072545,vm3,70.05,3.672MiB / 512MiB
1765708913.6072545,vm2,60.36,4.059MiB / 512MiB
1765708913.6072545,vm1,30.20,3.273MiB / 512MiB
1765708913.6072545,vm4,76.15,7.359MiB / 512MiB
1765708913.6072545,vm5,91.75,4.68MiB / 512MiB
1765708916.70902,vm3,65.93,1.043MiB / 512MiB
1765708916.70902,vm2,54.48,4.188MiB / 512MiB
1765708916.70902,vm1,49.54,5.93MiB / 512MiB
1765708916.70902,vm4,46.30,1.387MiB / 512MiB
1765708916.70902,vm5,99.88,7.266MiB / 512MiB
1765708919.8017564,vm3,62.93,1.203MiB / 512MiB
1765708919.8017564,vm2,47.66,4.523MiB / 512MiB
1765708919.8017564,vm1,49.57,5.949MiB / 512MiB
1765708919.8017564,vm4,73.64,4.074MiB / 512MiB
1765708919.8017564,vm5,100.86,7.281MiB / 512MiB
1765708922.8306596,vm3,69.51,3.676MiB / 512MiB
1765708922.8306596,vm2,59.96,4.512MiB / 512MiB
1765708922.8306596,vm1,47.61,6.488MiB / 512MiB
1765708922.8306596,vm4,71.27,4.242MiB / 512MiB
1765708922.8306596,vm5,99.43,4.164MiB / 512MiB
1765708925.927081,vm3,72.91,4.145MiB / 512MiB
1765708925.927081,vm2,59.68,4.547MiB / 512MiB
1765708925.927081,vm1,47.72,6.16MiB / 512MiB
1765708925.927081,vm4,79.00,4.039MiB / 512MiB
1765708925.927081,vm5,99.83,4.035MiB / 512MiB
1765708928.9497356,vm3,69.98,3.93MiB / 512MiB
1765708928.9497356,vm2,60.03,4.199MiB / 512MiB
1765708928.9497356,vm1,45.73,3.293MiB / 512MiB
1765708928.9497356,vm4,80.16,4.262MiB / 512MiB
1765708928.9497356,vm5,89.23,4MiB / 512MiB
1765708932.0472677,vm3,69.70,3.684MiB / 512MiB
1765708932.0472677,vm2,60.21,4.062MiB / 512MiB
1765708932.0472677,vm1,50.32,5.961MiB / 512MiB
1765708932.0472677,vm4,79.61,4.75MiB / 512MiB
1765708932.0472677,vm5,99.37,3.996MiB / 512MiB
1765708935.1404288,vm3,70.25,3.676MiB / 512MiB
1765708935.1404288,vm2,59.87,4.328MiB / 512MiB
1765708935.1404288,vm1,50.64,5.961MiB / 512MiB
1765708935.1404288,vm4,79.87,4.285MiB / 512MiB
1765708935.1404288,vm5,99.71,4.367MiB / 512MiB
1765708938.1626582,vm3,69.96,3.852MiB / 512MiB
1765708938.1626582,vm2,59.25,4.055MiB / 512MiB
1765708938.1626582,vm1,50.07,6.66MiB / 512MiB
1765708938.1626582,vm4,80.00,4.215MiB / 512MiB
1765708938.1626582,vm5,99.51,3.996MiB / 512MiB
1765708941.2558057,vm3,69.97,3.734MiB / 512MiB
1765708941.2558057,vm2,56.66,4.891MiB / 512MiB
1765708941.2558057,vm1,50.38,6.156MiB / 512MiB
1765708941.2558057,vm4,79.67,4.215MiB / 512MiB
1765708941.2558057,vm5,90.10,4.129MiB / 512MiB
1765708944.2770405,vm3,69.28,3.734MiB / 512MiB
1765708944.2770405,vm2,59.23,4.07MiB / 512MiB
1765708944.2770405,vm1,34.47,3.301MiB / 512MiB
1765708944.2770405,vm4,79.64,4.18MiB / 512MiB
1765708944.2770405,vm5,96.49,7.266MiB / 512MiB
1765708947.3018198,vm3,69.65,3.68MiB / 512MiB
1765708947.3018198,vm2,59.38,4.539MiB / 512MiB
1765708947.3018198,vm1,49.37,5.934MiB / 512MiB
1765708947.3018198,vm4,79.36,4.664MiB / 512MiB
1765708947.3018198,vm5,99.62,4.008MiB / 512MiB
1765708950.3905437,vm3,69.53,3.68MiB / 512MiB
1765708950.3905437,vm2,59.13,4.047MiB / 512MiB
1765708950.3905437,vm1,49.02,6.184MiB / 512MiB
1765708950.3905437,vm4,79.44,4.191MiB / 512MiB
1765708950.3905437,vm5,99.40,4.008MiB / 512MiB
1765708953.4241662,vm3,70.27,3.77MiB / 512MiB
1765708953.4241662,vm2,56.68,4.43MiB / 512MiB
1765708953.4241662,vm1,49.69,5.934MiB / 512MiB
1765708953.4241662,vm4,79.53,4.461MiB / 512MiB
1765708953.4241662,vm5,99.58,4.121MiB / 512MiB
1765708956.5223858,vm3,70.57,3.688MiB / 512MiB
1765708956.5223858,vm2,24.42,1.395MiB / 512MiB
1765708956.5223858,vm1,49.64,5.934MiB / 512MiB
1765708956.5223858,vm4,77.29,1.633MiB / 512MiB
1765708956.5223858,vm5,98.16,3.984MiB / 512MiB
1765708959.6219587,vm3,69.55,3.664MiB / 512MiB
1765708959.6219587,vm2,59.94,4.176MiB / 512MiB
1765708959.6219587,vm1,0.00,3.27MiB / 512MiB
1765708959.6219587,vm4,56.09,5.262MiB / 512MiB
1765708959.6219587,vm5,100.43,6.645MiB / 512MiB
1765708962.6430335,vm3,69.80,3.934MiB / 512MiB
1765708962.6430335,vm2,60.28,4.078MiB / 512MiB
1765708962.6430335,vm1,50.33,5.934MiB / 512MiB
1765708962.6430335,vm4,44.15,1.77MiB / 512MiB
1765708962.6430335,vm5,104.76,7.477MiB / 512MiB
1765708965.7410948,vm3,70.05,3.906MiB / 512MiB
1765708965.7410948,vm2,60.42,4.074MiB / 512MiB
1765708965.7410948,vm1,47.49,6.547MiB / 512MiB
1765708965.7410948,vm4,80.46,4.098MiB / 512MiB
1765708965.7410948,vm5,99.65,4.121MiB / 512MiB
1765708968.7655282,vm3,69.51,3.684MiB / 512MiB
1765708968.7655282,vm2,59.50,4.434MiB / 512MiB
1765708968.7655282,vm1,50.10,6.07MiB / 512MiB
1765708968.7655282,vm4,79.98,4.098MiB / 512MiB
1765708968.7655282,vm5,88.43,5.207MiB / 512MiB
1765708971.8785937,vm3,69.34,3.684MiB / 512MiB
1765708971.8785937,vm2,59.27,4.059MiB / 512MiB
1765708971.8785937,vm1,50.04,6.07MiB / 512MiB
1765708971.8785937,vm4,79.49,4.543MiB / 512MiB
1765708971.8785937,vm5,99.43,4.254MiB / 512MiB
1765708974.9772441,vm3,50.72,3.695MiB / 512MiB
1765708974.9772441,vm2,59.45,4.059MiB / 512MiB
1765708974.9772441,vm1,48.82,6.078MiB / 512MiB
1765708974.9772441,vm4,74.28,4.625MiB / 512MiB
1765708974.9772441,vm5,99.48,4.133MiB / 512MiB
1765708978.001655,vm3,69.95,3.684MiB / 512MiB
1765708978.001655,vm2,59.52,4.062MiB / 512MiB
1765708978.001655,vm1,49.27,5.926MiB / 512MiB
1765708978.001655,vm4,80.02,4.043MiB / 512MiB
1765708978.001655,vm5,99.33,5.238MiB / 512MiB
1765708981.0944288,vm3,69.75,3.898MiB / 512MiB
1765708981.0944288,vm2,59.12,4.062MiB / 512MiB
1765708981.0944288,vm1,49.60,6.203MiB / 512MiB
1765708981.0944288,vm4,81.41,7.613MiB / 512MiB
1765708981.0944288,vm5,99.79,4.215MiB / 512MiB
1765708984.1183627,vm3,69.90,3.676MiB / 512MiB
1765708984.1183627,vm2,0.00,1.398MiB / 512MiB
1765708984.1183627,vm1,49.62,6.203MiB / 512MiB
1765708984.1183627,vm4,79.25,4.309MiB / 512MiB
1765708984.1183627,vm5,99.77,4.754MiB / 512MiB
1765708987.2511737,vm3,0.00,1.016MiB / 512MiB
1765708987.2511737,vm2,0.00,1.398MiB / 512MiB
1765708987.2511737,vm1,49.94,6.203MiB / 512MiB
1765708987.2511737,vm4,72.46,1.438MiB / 512MiB
1765708987.2511737,vm5,28.27,1.586MiB / 512MiB
