timestamp,container,cpu_percent,mem_usage
1765708707.1475337,vm3,62.79,4.152MiB / 512MiB
1765708707.1475337,vm2,56.45,1.43MiB / 512MiB
1765708707.1475337,vm1,50.81,6.113MiB / 512MiB
1765708707.1475337,vm4,68.52,4.23MiB / 512MiB
1765708707.1475337,vm5,77.98,4.398MiB / 512MiB
1765708710.2475762,vm3,64.88,3.992MiB / 512MiB
1765708710.2475762,vm2,54.73,4.059MiB / 512MiB
1765708710.2475762,vm1,43.82,3.305MiB / 512MiB
1765708710.2475762,vm4,71.86,4.652MiB / 512MiB
1765708710.2475762,vm5,94.08,4.168MiB / 512MiB
1765708713.2727308,vm3,64.81,4.16MiB / 512MiB
1765708713.2727308,vm2,54.60,4.809MiB / 512MiB
1765708713.2727308,vm1,50.15,6.117MiB / 512MiB
1765708713.2727308,vm4,73.70,4.262MiB / 512MiB
1765708713.2727308,vm5,87.56,4.488MiB / 512MiB
1765708716.3875256,vm3,65.62,1.016MiB / 512MiB
1765708716.3875256,vm2,59.86,4.055MiB / 512MiB
1765708716.3875256,vm1,50.03,6.129MiB / 512MiB
1765708716.3875256,vm4,79.94,4.035MiB / 512MiB
1765708716.3875256,vm5,80.57,4.266MiB / 512MiB
1765708719.4955168,vm3,71.24,3.852MiB / 512MiB
1765708719.4955168,vm2,62.98,4.059MiB / 512MiB
1765708719.4955168,vm1,49.56,6.082MiB / 512MiB
1765708719.4955168,vm4,70.37,3.793MiB / 512MiB
1765708719.4955168,vm5,93.10,4.246MiB / 512MiB
1765708722.5178757,vm3,69.64,3.926MiB / 512MiB
1765708722.5178757,vm2,59.62,4.527MiB / 512MiB
1765708722.5178757,vm1,49.43,6.082MiB / 512MiB
1765708722.5178757,vm4,80.10,4.797MiB / 512MiB
1765708722.5178757,vm5,98.42,1.43MiB / 512MiB
1765708725.6137261,vm3,69.96,3.875MiB / 512MiB
1765708725.6137261,vm2,59.65,4.062MiB / 512MiB
1765708725.6137261,vm1,49.66,6.074MiB / 512MiB
1765708725.6137261,vm4,80.05,4.438MiB / 512MiB
1765708725.6137261,vm5,88.72,5.16MiB / 512MiB
1765708728.6341279,vm3,69.98,3.824MiB / 512MiB
1765708728.6341279,vm2,60.38,4.094MiB / 512MiB
1765708728.6341279,vm1,49.55,6.07MiB / 512MiB
1765708728.6341279,vm4,78.76,4.043MiB / 512MiB
1765708728.6341279,vm5,89.44,4.438MiB / 512MiB
1765708731.7257845,vm3,69.81,3.684MiB / 512MiB
1765708731.7257845,vm2,57.66,1.426MiB / 512MiB
1765708731.7257845,vm1,49.51,6.199MiB / 512MiB
1765708731.7257845,vm4,73.87,4.492MiB / 512MiB
1765708731.7257845,vm5,99.41,4.078MiB / 512MiB
1765708734.8365352,vm3,69.70,3.672MiB / 512MiB
1765708734.8365352,vm2,58.12,4.602MiB / 512MiB
1765708734.8365352,vm1,50.06,5.934MiB / 512MiB
1765708734.8365352,vm4,72.37,4.699MiB / 512MiB
1765708734.8365352,vm5,90.94,5.062MiB / 512MiB
1765708737.8606677,vm3,69.74,3.688MiB / 512MiB
1765708737.8606677,vm2,59.85,4.066MiB / 512MiB
1765708737.8606677,vm1,50.44,6.066MiB / 512MiB
1765708737.8606677,vm4,73.98,4.039MiB / 512MiB
1765708737.8606677,vm5,88.29,5.02MiB / 512MiB
1765708740.9589696,vm3,69.78,3.676MiB / 512MiB
1765708740.9589696,vm2,60.21,4.238MiB / 512MiB
1765708740.9589696,vm1,49.42,6.965MiB / 512MiB
1765708740.9589696,vm4,79.85,4.219MiB / 512MiB
1765708740.9589696,vm5,88.92,4.301MiB / 512MiB
1765708743.988991,vm3,69.44,3.871MiB / 512MiB
1765708743.988991,vm2,59.79,4.387MiB / 512MiB
1765708743.988991,vm1,50.65,5.938MiB / 512MiB
1765708743.988991,vm4,76.86,1.566MiB / 512MiB
1765708743.988991,vm5,99.51,4.516MiB / 512MiB
1765708747.1063051,vm3,63.47,4.402MiB / 512MiB
1765708747.1063051,vm2,59.28,4.191MiB / 512MiB
1765708747.1063051,vm1,49.72,5.934MiB / 512MiB
1765708747.1063051,vm4,79.43,4.043MiB / 512MiB
1765708747.1063051,vm5,89.05,4.121MiB / 512MiB
1765708750.2032788,vm3,68.79,3.68MiB / 512MiB
1765708750.2032788,vm2,59.55,4.07MiB / 512MiB
1765708750.2032788,vm1,49.59,6.07MiB / 512MiB
1765708750.2032788,vm4,80.03,4.062MiB / 512MiB
1765708750.2032788,vm5,88.58,4.984MiB / 512MiB
1765708753.2269456,vm3,64.34,3.766MiB / 512MiB
1765708753.2269456,vm2,60.10,4.07MiB / 512MiB
1765708753.2269456,vm1,49.58,6.07MiB / 512MiB
1765708753.2269456,vm4,73.52,4.895MiB / 512MiB
1765708753.2269456,vm5,99.36,4.281MiB / 512MiB
1765708756.325588,vm3,70.41,3.676MiB / 512MiB
1765708756.325588,vm2,59.98,4.195MiB / 512MiB
1765708756.325588,vm1,49.68,5.938MiB / 512MiB
1765708756.325588,vm4,79.78,4.047MiB / 512MiB
1765708756.325588,vm5,99.43,4.137MiB / 512MiB
1765708759.421867,vm3,70.07,4.344MiB / 512MiB
1765708759.421867,vm2,59.93,4.195MiB / 512MiB
1765708759.421867,vm1,49.33,5.934MiB / 512MiB
1765708759.421867,vm4,79.69,4.184MiB / 512MiB
1765708759.421867,vm5,89.15,4.148MiB / 512MiB
1765708762.4439695,vm3,70.22,3.898MiB / 512MiB
1765708762.4439695,vm2,59.72,4.551MiB / 512MiB
1765708762.4439695,vm1,49.11,5.934MiB / 512MiB
1765708762.4439695,vm4,71.88,5.262MiB / 512MiB
1765708762.4439695,vm5,99.65,4.266MiB / 512MiB
1765708765.5391006,vm3,69.54,3.688MiB / 512MiB
1765708765.5391006,vm2,60.22,4.062MiB / 512MiB
1765708765.5391006,vm1,49.82,5.926MiB / 512MiB
1765708765.5391006,vm4,78.47,4.039MiB / 512MiB
1765708765.5391006,vm5,99.12,4.211MiB / 512MiB
1765708768.5636818,vm3,69.49,3.688MiB / 512MiB
1765708768.5636818,vm2,60.34,4.312MiB / 512MiB
1765708768.5636818,vm1,50.54,5.926MiB / 512MiB
1765708768.5636818,vm4,79.83,4.773MiB / 512MiB
1765708768.5636818,vm5,99.74,4.152MiB / 512MiB
1765708771.675689,vm3,69.41,3.844MiB / 512MiB
